City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,-33.65,115.3333,54.88,81,16,9.53
1,Ishigaki,24.3448,124.1572,69.93,73,100,8.05
2,Hasaki,35.7333,140.8333,43.2,61,100,8.81
3,Jhalu,29.35,78.25,79.32,18,0,2.59
4,Pisco,-13.7,-76.2167,71.65,68,0,24.16
5,Ushuaia,-54.8,-68.3,44.26,57,20,8.05
6,Sitka,57.0531,-135.33,44.49,59,83,4.88
7,Jijiang,29.2906,106.2542,56.37,92,100,3.38
8,Fairbanks,64.8378,-147.7164,32.23,34,0,9.22
9,Bluff,-46.6,168.3333,40.8,79,97,8.46
10,Rikitea,-23.1203,-134.9692,77.79,72,5,13.58
11,Henties Bay,-22.116,14.2845,60.51,81,14,5.17
12,Upernavik,72.7868,-56.1549,-6.34,90,30,13.02
13,Beidao,34.5686,105.8933,45.07,82,100,2.24
14,Castro,-24.7911,-50.0119,57.42,78,0,2.91
15,Varkaus,62.3153,27.873,28.31,94,64,3.06
16,Albany,42.6001,-73.9662,41.65,87,100,1.01
17,New Norfolk,-42.7826,147.0587,57.92,72,100,2.51
18,Vaini,-21.2,-175.2,82.56,78,40,5.75
19,Mount Gambier,-37.8333,140.7667,67.91,40,40,19.57
20,Saskylakh,71.9167,114.0833,11.7,92,99,15.39
21,Bambous Virieux,-20.3428,57.7575,79.05,78,40,11.5
22,Rock Sound,24.9,-76.2,75.94,78,24,19.66
23,Beyneu,45.3167,55.2,58.48,41,13,6.89
24,San Ramon,37.7799,-121.978,67.82,72,75,16.11
25,Bonthe,7.5264,-12.505,78.62,77,90,8.63
26,Acapulco,16.8634,-99.8901,86.59,51,9,13.73
27,Naze,28.3667,129.4833,58.12,68,81,6.33
28,Avarua,-21.2078,-159.775,80.65,83,20,5.75
29,Soligalich,59.0778,42.2864,24.8,89,13,3.6
30,Sabang,5.8933,95.3214,83.21,68,100,3.33
31,Hokitika,-42.7167,170.9667,53.96,79,92,5.19
32,Uspenka,48.3903,39.1619,49.41,74,100,9.4
33,Luwuk,-0.9516,122.7875,77.95,87,100,2.53
34,Faanui,-16.4833,-151.75,82.02,71,8,14.85
35,Nouadhibou,20.931,-17.0347,64.38,94,20,14.97
36,Liberal,37.0431,-100.921,56.44,28,0,14.99
37,Esperance,-33.8667,121.9,60.64,67,89,12.73
38,Kaitangata,-46.2817,169.8464,45.45,78,76,3.15
39,Ahipara,-35.1667,173.1667,65.25,79,100,12.75
40,Qaanaaq,77.484,-69.3632,-11.25,79,58,4.81
41,Norman Wells,65.282,-126.8329,14.04,41,20,3.44
42,Mubende,0.5606,31.39,59.27,98,100,1.43
43,East London,-33.0153,27.9116,61.81,78,100,8.37
44,Tasiilaq,65.6145,-37.6368,35.76,97,100,14.74
45,Punta Arenas,-53.15,-70.9167,46.51,76,40,11.5
46,Mataura,-46.1927,168.8643,41.49,85,75,2.77
47,Mar Del Plata,-38.0023,-57.5575,69.82,87,0,11.99
48,Waslala,13.2333,-85.3833,95.38,25,58,9.17
49,Nikolskoye,59.7035,30.7861,34.72,82,70,2.86
50,Saint George,37.1041,-113.5841,80.26,14,20,13.0
51,Kodiak,57.79,-152.4072,38.39,79,100,15.86
52,Sao Joaquim,-28.2939,-49.9317,49.12,87,9,4.81
53,Barrow,71.2906,-156.7887,5.63,82,5,16.71
54,Mabai,23.0128,104.4508,59.05,98,100,4.0
55,Hambantota,6.1241,81.1185,80.4,81,51,6.76
56,Broken Hill,-31.95,141.4333,58.71,55,0,9.22
57,Lipnita,44.1,27.6,55.15,76,99,19.17
58,Muisne,0.6,-80.0333,78.93,79,95,8.19
59,Ilulissat,69.2167,-51.1,2.89,84,4,3.0
60,Bambanglipuro,-7.95,110.2833,76.5,90,28,2.98
61,Rundu,-17.9333,19.7667,68.36,81,100,5.3
62,Hermanus,-34.4187,19.2345,57.79,76,2,17.67
63,Huancabamba,-5.2386,-79.4506,66.47,85,78,2.26
64,Carnarvon,-24.8667,113.6333,75.27,73,53,12.66
65,Matara,5.9485,80.5353,79.45,85,66,3.76
66,Dwarka,22.2394,68.9678,79.95,79,0,12.17
67,Aswan,24.0934,32.907,90.7,9,0,5.75
